District,Households_Rural,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise
Pratapgarh,711085.0,44798.355,339187.54500000004,41701.0,583.814,29315.803
Pratapgarh,711085.0,44798.355,339187.54500000004,41701.0,1251.03,25229.105
Saharanpur,605082.0,34489.674,265630.998,284156.0,8808.836,162537.23200000002
Muzaffarnagar,673746.0,30992.316,269498.4,296104.0,9475.328,159007.848
Bijnor,683875.0,37613.125,262608.0,224648.0,7188.736,116367.664
Moradabad,,,,355518.0,11376.576000000001,166737.94199999998
Rampur,396775.0,24600.05,107526.02500000001,143217.0,5585.463,65879.82
Jyotiba Phule Nagar,335888.0,19817.392,99758.73599999999,115486.0,4619.4400000000005,49774.466
Meerut,381520.0,15642.319999999998,141162.4,422303.0,8868.363000000001,247047.25499999998
Baghpat,246055.0,7873.76,89071.91000000002,69991.0,2169.721,32335.842
Ghaziabad,355407.0,12794.652000000002,142873.614,836316.0,15053.688000000002,516843.288
Gautam Buddha Nagar,170835.0,4100.04,86442.51,338935.0,4406.155000000001,235220.89
Bulandshahr,658449.0,28313.306999999997,219921.966,221628.0,6205.583999999999,113251.908
Aligarh,582117.0,25031.031,197337.66299999997,275942.0,7450.434000000001,141834.188
Mahamaya Nagar,288150.0,12102.300000000001,110073.3,84883.0,2716.256,40489.191000000006
Mathura,407488.0,16299.52,160957.76,177802.0,4089.446,95657.47599999998
Agra,496971.0,21369.752999999997,204752.05200000003,406852.0,7730.188,233939.9
Firozabad,349747.0,23433.049000000003,119613.474,185621.0,7424.84,75547.747
Mainpuri,338475.0,25385.625,129297.45,72783.0,3202.452,36609.849
Budaun,710956.0,57587.436,171340.396,156668.0,9870.084,61100.520000000004
Bareilly,631613.0,48634.201,168009.05800000002,362798.0,14511.92,171240.65600000002
Pilibhit,371752.0,34201.184,95540.264,89638.0,7529.592000000001,38275.42600000001
Shahjahanpur,,,,134714.0,11046.547999999999,54559.170000000006
Kheri,754938.0,83798.118,182694.99599999998,107672.0,9582.808,45868.272
Sitapur,827583.0,100137.54299999999,209378.499,111319.0,9462.115,51206.740000000005
Hardoi,786613.0,65288.879,224971.31800000003,121064.0,7990.224,53631.35199999999
Unnao,,,,121039.0,6172.989,57372.486
Lucknow,344155.0,28564.865,114603.61499999999,717566.0,29420.205999999995,443455.788
Rae Bareli,705025.0,54991.95,252398.94999999998,73393.0,3816.436,41834.009999999995
Farrukhabad,316647.0,27231.641999999996,97210.629,94843.0,4457.621,44386.524
Kannauj,299785.0,26381.08,96230.985,65985.0,3893.1150000000002,31012.949999999997
Etawah,265643.0,20720.154,96694.052,85483.0,3590.286,44707.609000000004
Auraiya,255836.0,23025.239999999998,89030.928,58438.0,2337.52,30504.636000000002
Kanpur Dehat,363933.0,30570.372000000003,122645.421,41323.0,2438.0570000000002,20454.885
Kanpur Nagar,364869.0,25175.961000000003,121136.508,684906.0,32875.488,365054.8979999999
Jalaun,304856.0,8840.823999999999,115235.56799999998,91565.0,3204.775,47980.060000000005
Jhansi,309592.0,6191.84,151390.48799999998,195321.0,3711.0989999999997,121099.02
Lalitpur,258013.0,6966.351000000001,109913.538,43819.0,1139.294,25020.649
Mahoba,198298.0,3371.0660000000003,90423.888,48525.0,776.4,22855.275
Banda,378056.0,4158.616,164076.304,67569.0,1148.673,40000.848000000005
Chitrakoot,207237.0,3730.2660000000005,89940.858,23558.0,636.066,10648.216
Fatehpur,558807.0,31851.999,199494.09900000002,77733.0,3342.519,39488.364
Kaushambi,349856.0,15393.664,135744.128,30764.0,1353.6160000000002,14243.731999999998
Allahabad,983266.0,45230.236,441486.434,265304.0,7693.816,166345.608
Bara Banki,635840.0,75664.96,230174.08000000002,79068.0,6957.984,38427.048
Faizabad,510378.0,47465.15400000001,192412.506,79288.0,3885.112,42974.096000000005
Ambedkar Nagar,501559.0,49654.341,210654.78,65031.0,6373.0380000000005,27638.175
Sultanpur,839737.0,72217.382,338414.011,49891.0,2195.204,30134.164
Bahraich,698520.0,60072.719999999994,201872.28,61742.0,3519.2940000000003,30006.612
Shrawasti,248770.0,16916.36,87069.5,8504.0,850.4000000000001,3843.808
Balrampur,410070.0,27474.690000000002,143114.43,35768.0,1466.4879999999998,17812.464
Gonda,673578.0,76114.314,244508.81399999998,52794.0,2322.936,30726.108000000004
Siddharthnagar,480165.0,31690.890000000003,225197.38499999998,33348.0,1734.0960000000002,17741.136000000002
Basti,,,,31065.0,2112.42,15936.345000000001
Sant Kabir Nagar,,,,27179.0,1739.4560000000001,13399.247
Mahrajganj,573046.0,50428.048,220622.71,34033.0,1973.9139999999998,16846.335
Gorakhpur,761958.0,67814.262,327641.94,189170.0,6999.290000000001,116150.38
Kushinagar,,,,42775.0,4020.85,19676.5
Deoria,597778.0,50811.130000000005,263620.098,67928.0,4483.2480000000005,36884.903999999995
Azamgarh,891024.0,80192.16,368883.936,80434.0,3860.832,39171.358
Mau,352207.0,35572.907,145461.49099999998,99321.0,6753.828,37344.696
Ballia,564927.0,72310.656,218061.82200000001,64454.0,5994.222000000001,33129.356
Jaunpur,926088.0,66678.33600000001,419517.86399999994,80582.0,3545.608,36584.227999999996
Ghazipur,700173.0,72817.99200000001,259064.01,61467.0,4487.090999999999,30057.363
Chandauli,344937.0,23455.716,146598.225,50822.0,2337.812,26935.66
Varanasi,438935.0,29408.645,190497.79,316129.0,11064.515000000001,171025.78900000002
Sant Ravidas Nagar (Bhadohi),293510.0,18197.62,131198.97,45997.0,2621.829,20376.671
Mirzapur,465152.0,22327.296000000002,195363.84,77963.0,2728.7050000000004,39137.426
Sonbhadra,337048.0,6066.8640000000005,138189.68,91040.0,4278.88,52712.159999999996
Etah,334246.0,23397.22,116651.85399999999,67752.0,2100.312,34214.76
Kanshiram Nagar,271234.0,24139.826,77301.68999999999,,,
Pashchim Champaran,839514.0,41136.186,260249.34,96620.0,7149.880000000001,37102.08
Purba Champaran,1142260.0,63966.55999999999,431774.2799999999,101565.0,5789.205,50173.11
Sheohar,158484.0,5388.456,57846.659999999996,7516.0,601.28,3314.556
Sitamarhi,,,,49670.0,3228.55,24437.640000000003
Madhubani,1047552.0,49234.944,435781.63200000004,41234.0,2927.6139999999996,19297.512
Supaul,572287.0,28042.063000000002,181414.979,27815.0,2169.57,10430.625
Araria,,,,44213.0,2829.632,19321.081000000002
Kishanganj,401793.0,14062.755000000001,136207.827,43357.0,3425.203,19120.437
Purnia,712847.0,36355.197,209577.01799999998,,,
Katihar,,,,69838.0,4958.498,34150.782
Madhepura,486278.0,30149.236,141020.62,24000.0,2088.0,10224.0
Saharsa,432651.0,28554.966,122007.582,38046.0,2815.4040000000005,18071.85
Darbhanga,907174.0,73481.094,343818.946,95539.0,8598.51,46623.032
Muzaffarpur,998694.0,83890.296,305600.364,120700.0,8207.6,65660.8
Gopalganj,515925.0,41274.0,197083.35,38133.0,2326.113,19600.362
Siwan,632514.0,51866.147999999994,281468.73,41858.0,2553.3379999999997,23273.048000000003
Saran,701323.0,61015.100999999995,274217.293,76299.0,6027.621,36928.716
Vaishali,699317.0,86015.99100000001,211893.051,51494.0,5458.364,21936.444
Samastipur,1012979.0,98258.96299999999,305919.658,43486.0,2826.59,22917.122
Begusarai,594377.0,68947.73199999999,181284.985,139248.0,13646.304,62661.6
Khagaria,373696.0,33258.944,118461.632,21007.0,1512.5040000000001,8633.877
Bhagalpur,522527.0,45982.376000000004,163550.951,130634.0,10058.818,60744.810000000005
Banka,425604.0,28941.072000000004,132788.448,18492.0,943.092,8395.367999999999
Munger,222281.0,17560.199,72241.325,85782.0,5747.394,44006.166
Lakhisarai,175882.0,13542.914,56809.88599999999,31763.0,2668.092,11466.443
Sheikhpura,108293.0,10179.542,32271.314,24345.0,1801.5300000000002,10760.49
Nalanda,,,,102522.0,7279.061999999999,49825.691999999995
Patna,657991.0,59877.181,202661.228,552103.0,28709.356000000003,338439.13899999997
Bhojpur,434559.0,37806.632999999994,136016.967,77368.0,6344.1759999999995,37059.272
Buxar,299252.0,31421.46,91870.364,35405.0,3115.6400000000003,16958.995
Kaimur (Bhabua),325143.0,21134.295000000002,102094.902,15299.0,703.754,8659.234
Rohtas,512383.0,32792.512,171135.922,95678.0,5645.002,47551.96600000001
Aurangabad,428291.0,28267.206000000002,144762.35799999998,49006.0,2646.3240000000005,24993.06
Aurangabad,428291.0,28267.206000000002,144762.35799999998,49006.0,686.084,36460.46400000001
Aurangabad,428291.0,28267.206000000002,144762.35799999998,427343.0,23076.522000000004,217944.93
Aurangabad,428291.0,28267.206000000002,144762.35799999998,427343.0,5982.802,317943.19200000004
Aurangabad,428291.0,34263.28,220569.86500000002,49006.0,2646.3240000000005,24993.06
Aurangabad,428291.0,34263.28,220569.86500000002,49006.0,686.084,36460.46400000001
Aurangabad,428291.0,34263.28,220569.86500000002,427343.0,23076.522000000004,217944.93
Aurangabad,428291.0,34263.28,220569.86500000002,427343.0,5982.802,317943.19200000004
Aurangabad,551789.0,36418.074,186504.68199999997,49006.0,2646.3240000000005,24993.06
Aurangabad,551789.0,36418.074,186504.68199999997,49006.0,686.084,36460.46400000001
Aurangabad,551789.0,36418.074,186504.68199999997,427343.0,23076.522000000004,217944.93
Aurangabad,551789.0,36418.074,186504.68199999997,427343.0,5982.802,317943.19200000004
Aurangabad,551789.0,44143.12,284171.335,49006.0,2646.3240000000005,24993.06
Aurangabad,551789.0,44143.12,284171.335,49006.0,686.084,36460.46400000001
Aurangabad,551789.0,44143.12,284171.335,427343.0,23076.522000000004,217944.93
Aurangabad,551789.0,44143.12,284171.335,427343.0,5982.802,317943.19200000004
Gaya,696289.0,55006.831,192872.05299999999,111282.0,5230.254,62206.63799999999
Nawada,,,,45323.0,2900.672,22888.115
Jamui,,,,30851.0,2622.335,12247.847
Jehanabad,186660.0,16986.06,51891.48,28132.0,1941.1080000000002,14347.32
Arwal,134334.0,10478.052,37882.187999999995,9960.0,607.56,3844.56
North  District,11543.0,427.09100000000007,5575.269,2066.0,37.188,1504.048
West District,32091.0,2535.189,12322.944,1886.0,124.476,1356.034
South District,31135.0,1836.9650000000001,14695.720000000001,8163.0,73.46700000000001,6620.192999999999
East District,40626.0,3046.95,19866.114,41512.0,705.7040000000001,31590.631999999994
Tawang,10730.0,439.92999999999995,5064.56,2452.0,14.712,1674.716
West Kameng,17889.0,447.225,8372.052,,,
East Kameng,14503.0,377.07800000000003,5569.152,5215.0,130.375,2550.1349999999998
Papum Pare,,,,30180.0,1056.3000000000002,19073.76
Upper Subansiri,14542.0,363.55,4987.906,4672.0,56.064,2751.808
West Siang,22272.0,178.17600000000002,12628.224000000002,8503.0,178.56300000000002,5484.435
East Siang,,,,9524.0,409.532,3581.024
Upper Siang,8569.0,34.276,5946.886,2182.0,24.002000000000002,1058.27
Changlang,33422.0,568.1740000000001,15942.294000000002,6498.0,51.984,3716.856
